match_num,date,home,away,group,stage
1,2026-06-11,Mexico,South Africa,A,group
2,2026-06-11,South Korea,Czechia,A,group
3,2026-06-12,Canada,Bosnia and Herzegovina,B,group
4,2026-06-12,United States,Paraguay,D,group
5,2026-06-13,Haiti,Scotland,C,group
6,2026-06-13,Australia,Turkey,D,group
7,2026-06-13,Brazil,Morocco,C,group
8,2026-06-13,Qatar,Switzerland,B,group
9,2026-06-14,Ivory Coast,Ecuador,E,group
10,2026-06-14,Germany,Curaçao,E,group
11,2026-06-14,Netherlands,Japan,F,group
12,2026-06-14,Sweden,Tunisia,F,group
13,2026-06-15,Saudi Arabia,Uruguay,H,group
14,2026-06-15,Spain,Cape Verde,H,group
15,2026-06-15,Iran,New Zealand,G,group
16,2026-06-15,Belgium,Egypt,G,group
17,2026-06-16,France,Senegal,I,group
18,2026-06-16,Iraq,Norway,I,group
19,2026-06-16,Argentina,Algeria,J,group
20,2026-06-16,Austria,Jordan,J,group
21,2026-06-17,Ghana,Panama,L,group
22,2026-06-17,England,Croatia,L,group
23,2026-06-17,Portugal,DR Congo,K,group
24,2026-06-17,Uzbekistan,Colombia,K,group
25,2026-06-18,Czechia,South Africa,A,group
26,2026-06-18,Switzerland,Bosnia and Herzegovina,B,group
27,2026-06-18,Canada,Qatar,B,group
28,2026-06-18,Mexico,South Korea,A,group
29,2026-06-19,Brazil,Haiti,C,group
30,2026-06-19,Scotland,Morocco,C,group
31,2026-06-19,Turkey,Paraguay,D,group
32,2026-06-19,United States,Australia,D,group
33,2026-06-20,Germany,Ivory Coast,E,group
34,2026-06-20,Ecuador,Curaçao,E,group
35,2026-06-20,Netherlands,Sweden,F,group
36,2026-06-20,Tunisia,Japan,F,group
37,2026-06-21,Uruguay,Cape Verde,H,group
38,2026-06-21,Spain,Saudi Arabia,H,group
39,2026-06-21,Belgium,Iran,G,group
40,2026-06-21,New Zealand,Egypt,G,group
41,2026-06-22,Norway,Senegal,I,group
42,2026-06-22,France,Iraq,I,group
43,2026-06-22,Argentina,Austria,J,group
44,2026-06-22,Jordan,Algeria,J,group
45,2026-06-23,England,Ghana,L,group
46,2026-06-23,Panama,Croatia,L,group
47,2026-06-23,Portugal,Uzbekistan,K,group
48,2026-06-23,Colombia,DR Congo,K,group
49,2026-06-24,Scotland,Brazil,C,group
50,2026-06-24,Morocco,Haiti,C,group
51,2026-06-24,Switzerland,Canada,B,group
52,2026-06-24,Bosnia and Herzegovina,Qatar,B,group
53,2026-06-24,Czechia,Mexico,A,group
54,2026-06-24,South Africa,South Korea,A,group
55,2026-06-25,Curaçao,Ivory Coast,E,group
56,2026-06-25,Ecuador,Germany,E,group
57,2026-06-25,Japan,Sweden,F,group
58,2026-06-25,Tunisia,Netherlands,F,group
59,2026-06-25,Turkey,United States,D,group
60,2026-06-25,Paraguay,Australia,D,group
61,2026-06-26,Norway,France,I,group
62,2026-06-26,Senegal,Iraq,I,group
63,2026-06-26,Egypt,Iran,G,group
64,2026-06-26,New Zealand,Belgium,G,group
65,2026-06-26,Cape Verde,Saudi Arabia,H,group
66,2026-06-26,Uruguay,Spain,H,group
67,2026-06-27,Panama,England,L,group
68,2026-06-27,Croatia,Ghana,L,group
69,2026-06-27,Algeria,Austria,J,group
70,2026-06-27,Jordan,Argentina,J,group
71,2026-06-27,Colombia,Portugal,K,group
72,2026-06-27,DR Congo,Uzbekistan,K,group
73,2026-06-28,Group A Runner-Up,Group B Runner-Up,,R32
74,2026-06-29,Group E Winner,Best 3rd A/B/C/D/F,,R32
75,2026-06-29,Group F Winner,Group C Runner-Up,,R32
76,2026-06-29,Group C Winner,Group F Runner-Up,,R32
77,2026-06-30,Group I Winner,Best 3rd C/D/F/G/H,,R32
78,2026-06-30,Group E Runner-Up,Group I Runner-Up,,R32
79,2026-06-30,Group A Winner,Best 3rd C/E/F/H/I,,R32
80,2026-07-01,Group L Winner,Best 3rd E/H/I/J/K,,R32
81,2026-07-01,Group D Winner,Best 3rd B/E/F/I/J,,R32
82,2026-07-01,Group G Winner,Best 3rd A/E/H/I/J,,R32
83,2026-07-02,Group K Runner-Up,Group L Runner-Up,,R32
84,2026-07-02,Group H Winner,Group J Runner-Up,,R32
85,2026-07-02,Group B Winner,Best 3rd E/F/G/I/J,,R32
86,2026-07-03,Group J Winner,Group H Runner-Up,,R32
87,2026-07-03,Group K Winner,Best 3rd D/E/I/J/L,,R32
88,2026-07-03,Group D Runner-Up,Group G Runner-Up,,R32
89,2026-07-04,Winner M74,Winner M77,,R16
90,2026-07-04,Winner M73,Winner M75,,R16
91,2026-07-05,Winner M76,Winner M78,,R16
92,2026-07-05,Winner M79,Winner M80,,R16
93,2026-07-06,Winner M83,Winner M84,,R16
94,2026-07-06,Winner M81,Winner M82,,R16
95,2026-07-07,Winner M86,Winner M88,,R16
96,2026-07-07,Winner M85,Winner M87,,R16
97,2026-07-09,Winner M89,Winner M90,,QF
98,2026-07-10,Winner M93,Winner M94,,QF
99,2026-07-11,Winner M91,Winner M92,,QF
100,2026-07-11,Winner M95,Winner M96,,QF
101,2026-07-14,Winner M97,Winner M98,,SF
102,2026-07-15,Winner M99,Winner M100,,SF
103,2026-07-18,Loser M101,Loser M102,,3rd
104,2026-07-19,Winner M101,Winner M102,,Final
